Input-File,Number-of-Cutsets,Value-Cutsets,Number-of-Sequences
EQK-BIN1_et_Grp-6,322461,1.2585371686260887e-09,33
HWD-96MPH_et_Grp-1,2390208,2.2553316066009895e-08,30
LOOPWR_et_Grp-1,1014915,5.659867791848278e-07,33
FRI-AB-SIS_et_Grp-1,659428,5.4157066492778e-08,29
EQK-BIN6_et_Grp-1,13,8.31237e-08,30
EQK-BIN1_et_Grp-3,9752,2.9086947572e-10,8
FLI-AFW-ROOM_et_Grp-1,126120,2.1092151270689177e-08,29
L4160ACB_et_Grp-1,162204,2.2200515448095998e-07,29
FRI-AB-CCWBC_et_Grp-1,528190,7.673362739936362e-10,29
EQK-BIN5_et_Grp-3,2761,1.808692e-10,3
EQK-BIN6_et_Grp-3,0,0.0,3
SGTR_et_Grp-1,1039329,2.6685539658000005e-06,12
FLI-RHR-ROOM_et_Grp-1,36008,1.0712852727148601e-10,29
EQK-BIN6_et_Grp-4,101515,3.7546119999999996e-07,8
LSSB_et_Grp-1,7,1.04555e-09,1
EQK-BIN2_et_Grp-3,7805,1.473925e-09,3
HWD-96MPH_et_Grp-2,168583,8.879485724799998e-11,33
EQK-BIN5_et_Grp-1,35467,5.4939833869046e-08,30
EQK-BIN5_et_Grp-2,37045,1.5442231e-09,8
TRANS_et_Grp-1,4178502,1.5246012300760403e-07,29
EQK-BIN3_et_Grp-3,102535,3.7105481e-08,8
EQK-BIN2_et_Grp-4,64427,1.67092605e-08,8
LOCCW_et_Grp-1,778360,8.2454490349777e-08,29
SLOCA_et_Grp-1,309917,2.45308773564e-05,8
HCN-BIN4_et_Grp-2,171479,2.3984922125487605e-10,33
L4160ACA_et_Grp-1,160390,2.2072374135634e-07,29
EQK-BIN4_et_Grp-1,94262,2.6652409402999996e-08,30
FRI-AB-AFWAB_et_Grp-1,420246,1.2437822902061349e-08,29
HCN-BIN4_et_Grp-1,58733,2.3391259171216097e-10,30
LSSB_et_Grp-2,129653,1.8563754329999998e-07,4
LOOPPC_et_Grp-1,851575,7.619243319184202e-08,33
FRI-AB-LOOP_et_Grp-1,29283,1.0982553969076696e-08,33
FLI-SWS-ROOM_et_Grp-1,190025,2.9970060862695997e-07,29
EQK-BIN1_et_Grp-5,1524,5.725982399999999e-12,3
HCN-BIN1_et_Grp-1,1472386,4.5122321256217785e-09,30
TOR-BIN2_et_Grp-1,28991,1.7791447227616e-11,30
HCN-BIN1_et_Grp-2,231045,3.5539666594709e-10,33
EQK-BIN2_et_Grp-1,233960,3.8226250380000005e-08,30
EQK-BIN3_et_Grp-5,5718,1.541257e-07,3
EQK-BIN5_et_Grp-6,151805,1.3362029e-06,8
XLOCA_et_Grp-1,1,1e-07,1
EQK-BIN5_et_Grp-5,5767,2.92413e-07,3
TOR-BIN3_et_Grp-1,6495,1.1615048667087959e-10,30
FLI-CCW-ROOM_et_Grp-1,283639,2.9406551694046494e-08,29
FLI-CCW-ROOMB_et_Grp-1,636421,1.0658503909344e-09,29
ISL-RHR-CL_et_Grp-1,217,3.0631199999999997e-11,2
TOR-BIN1_et_Grp-1,59469,1.6178471638359999e-12,30
EQK-BIN4_et_Grp-2,69375,1.03168999e-08,8
EQK-BIN5_et_Grp-4,207196,6.62773594e-07,33
LOOPGR_et_Grp-1,1111725,7.912854750210122e-07,33
EQK-BIN3_et_Grp-6,136253,8.8770672e-07,8
EQK-BIN3_et_Grp-1,9259,6.10589e-09,3
LOMFW_et_Grp-1,1550153,7.501827806727891e-08,18
ISL-RHR-HL_et_Grp-1,3,2.0626399999999997e-08,2
FRI-AB-LOOP-DIVA_et_Grp-1,45325,3.1380331524648007e-06,33
EQK-BIN4_et_Grp-3,6941,2.610451e-09,3
HCN-BIN2_et_Grp-2,258708,1.4894092559991e-09,33
EQK-BIN2_et_Grp-6,74358,5.7515556700000006e-08,8
EQK-BIN2_et_Grp-2,4389,5.101836999999999e-09,3
EQK-BIN6_et_Grp-5,2,0.0,8
EQK-BIN6_et_Grp-6,70399,1.2595068125200001e-08,33
LLOCA_et_Grp-1,20119,3.61730804e-07,3
FRI-AB-LOOP-DIVB_et_Grp-1,46090,3.1591390552748e-06,33
FRI-AB-RHRA_et_Grp-1,647063,2.1141716645170004e-09,29
EQK-BIN7_et_Grp-1,2,9.62273e-09,1
MLOCA_et_Grp-1,67620,9.33281245e-06,5
EQK-BIN2_et_Grp-5,426636,1.239539573637e-07,33
HCN-BIN2_et_Grp-1,805740,6.913802498792699e-10,30
EQK-BIN3_et_Grp-2,193271,6.406617549500002e-08,30
EQK-BIN1_et_Grp-4,1281,6.794089e-13,3
LSSB_et_Grp-3,87102,4.830099119303801e-10,11
FLI-SWS-ROOMA_et_Grp-1,182124,1.40252266362578e-08,29
EQK-BIN1_et_Grp-2,8550,3.460818213e-11,8
FLI-SWS-ROOMB_et_Grp-1,188786,1.40985644182658e-08,29
EQK-BIN4_et_Grp-5,6140,3.997064e-07,3
TOR-BIN3_et_Grp-2,88569,1.3455489319087e-11,33
EQK-BIN4_et_Grp-6,144971,1.3782513999999999e-06,8
LOOPSC_et_Grp-1,1253736,7.286430583380821e-07,33
TOR-BIN2_et_Grp-2,97093,8.349354625228003e-12,33
FLI-4160VACB_et_Grp-1,364430,2.5634984435645998e-09,29
EQK-BIN6_et_Grp-2,5401,1.293719e-07,3
EQK-BIN3_et_Grp-4,355356,1.1869626479999998e-06,33
HCN-BIN3_et_Grp-2,251633,8.313789681828e-10,33
EQK-BIN4_et_Grp-4,276816,1.0391287570000002e-06,33
TOR-BIN1_et_Grp-2,68598,3.7368508287548e-12,33
FLI-4160VACA_et_Grp-1,363408,2.5500806462691993e-09,29
FLI-CCW-ROOMA_et_Grp-1,631309,1.0652376811704e-09,29
FRI-AB-SLOCA_et_Grp-1,14257,5.499722255999999e-07,8
HCN-BIN3_et_Grp-1,223602,1.032444619843043e-10,30
LODCA_et_Grp-1,156714,4.248996318487e-08,29
FLI-CVC-ROOM_et_Grp-1,277526,3.9582202005994297e-10,29
EQK-BIN1_et_Grp-1,266448,4.9444136674113e-10,30
FRI-SWS-BLD_et_Grp-1,71923,9.331283829762001e-08,29
FRI-MCR_et_Grp-1,3464,9.08093478e-06,6
LODCB_et_Grp-1,160549,4.271160695828e-08,29
