Index,Name,Label,Value
1,BE0,TEMP-BE-TO-ADD-GATES-WITH-A-SINGLE-ELEMENT,0.000000E+00
2,BE00,TEMP-BE-TO-ADD-GATES-WITH-A-SINGLE-ELEMENT,1.000000E+00
3,BE1,IE-TRANS,6.760000E-01
4,BE10,EPS-XHE-XM-DGSEQ,1.000000E+00
5,BE100,HE-FLD-SWSA,0.000000E+00
6,BE100,HE-FLD-SWSA,1.000000E+00
7,BE101,HE-FLD-SWSB,0.000000E+00
8,BE101,HE-FLD-SWSB,1.000000E+00
9,BE102,HE-FLD-CCW,0.000000E+00
10,BE102,HE-FLD-CCW,1.000000E+00
11,BE103,HE-FLD-CCWA,0.000000E+00
12,BE103,HE-FLD-CCWA,1.000000E+00
13,BE104,HE-FLD-CCWB,0.000000E+00
14,BE104,HE-FLD-CCWB,1.000000E+00
15,BE105,HE-FLD-4160VACA,1.000000E+00
16,BE105,HE-FLD-4160VACA,0.000000E+00
17,BE106,HE-HWD,0.000000E+00
18,BE106,HE-HWD,1.000000E+00
19,BE107,IE-HWD-96MPH,1.000000E-01
20,BE109,ACC-TNK-RP-ACCD,2.016000E-07
21,BE11,IE-LOMFW,5.940000E-02
22,BE110,ACC-TNK-LK-ACCD,2.880000E-06
23,BE1103,ZA-MDP-FR-CCW-03A01,9.840000E-01
24,BE1104,ZA-MDP-FR-CCW-03A02,1.260000E-02
25,BE1105,ZA-MDP-FR-CCW-03A03,3.110000E-03
26,BE111,ACC-TNK-FC-ACCD,4.608000E-06
27,BE112,RCS-LOCA-CL1,2.500000E-01
28,BE113,RCS-LOCA-CL2,2.500000E-01
29,BE114,RCS-LOCA-CL3,2.500000E-01
30,BE115,RCS-LOCA-CL4,2.500000E-01
31,BE116,HE-FLD-4160VACB,0.000000E+00
32,BE116,HE-FLD-4160VACB,1.000000E+00
33,BE117,IE-FLI-4160VACA,3.000000E-04
34,BE118,IE-FLI-4160VACB,3.000000E-04
35,BE119,IE-FLI-AFW-RM,2.000000E-05
36,BE120,CCW-XHE-XM-TRNC,1.000000E-03
37,BE121,CCW-MOV-OC-001A,7.776000E-07
38,BE122,CCW-MOV-OC-002A,7.776000E-07
39,BE123,CCW-MOV-OC-001C_A,4.210000E-04
40,BE124,CCW-MOV-OC-002C_A,4.210000E-04
41,BE125,CCW-MOV-OC-001B,7.776000E-07
42,BE126,CCW-MOV-OC-002B,7.776000E-07
43,BE127,CCW-AOV-OC-HTXB,2.520000E-06
44,BE128,CCW-AOV-OC-HTXDISB,2.520000E-06
45,BE129,CCW-MOV-OC-001C_B,4.210000E-04
46,BE130,CCW-MOV-OC-002C_B,4.210000E-04
47,BE132,CVC-MOV-CF-DIS,2.198000E-06
48,BE133,HPI-CKV-CF-CVCINLT,1.214000E-07
49,BE134,HPI-CKV-CC-002,9.240000E-06
50,BE135,HPI-CKV-CC-003,9.240000E-06
51,BE136,HPI-CKV-CC-004,9.240000E-06
52,BE137,SIS-CKV-CC-001,9.240000E-06
53,BE138,HPI-CVC-TRNS,1.000000E+00
54,BE143,SIS-CKV-CC-003,9.240000E-06
55,BE144,SIS-CKV-CC-004,9.240000E-06
56,BE145,SIS-CKV-CC-002,9.240000E-06
57,BE146,HE-LOCA,0.000000E+00
58,BE146,HE-LOCA,1.000000E+00
59,BE147,SIS-CKV-CF-RCSCL,1.214000E-07
60,BE148,SIS-MOV-OC-002B,7.776000E-07
61,BE149,SIS-CKV-CC-004B,9.240000E-06
62,BE150,SIS-CKV-CF-DIS004,1.940000E-07
63,BE151,SIS-CKV-CC-004A,9.240000E-06
64,BE152,SIS-MOV-OC-002A,7.776000E-07
65,BE153,HPI-SIS-TRNS,1.000000E+00
66,BE154,HPR-CVC-FT,1.000000E+00
67,BE155,HPI-CKV-OO-005B,1.570000E-04
68,BE156,HPR-CVC-TRNS,1.000000E+00
69,BE157,HPI-CKV-OO-005A,1.570000E-04
70,BE158,LPR-MOV-CC-SICVCA,4.210000E-04
71,BE159,LPR-CKV-CC-SICVCA,9.240000E-06
72,BE160,LPR-MOV-CC-SICVCB,4.210000E-04
73,BE161,LPR-CKV-CC-SICVCB,9.240000E-06
74,BE162,LPR-MOV-CF-CVCSUC,2.198000E-06
75,BE163,HPR-SIS-FT,1.000000E+00
76,BE164,HPR-SIS-TRNS,1.000000E+00
77,BE167,ISL-XHE-XE-NONREC,1.000000E-01
78,BE168,ISL-PSF-RP-RHR,1.000000E+00
79,BE17,IE-SGTR,1.660000E-03
80,BE177,ISL-PSF-RP-LPI,1.000000E-01
81,BE18,AFW-TDP-FR-TDP,4.715000E-02
82,BE185,ISL-XHE-XE-RECRHR,1.000000E-01
83,BE186,ISL-XHE-XE-NRECRHR,1.000000E-01
84,BE187,LPI-CKV-CC-001,9.240000E-06
85,BE188,LPI-CKV-CF-RCSCL,1.214000E-07
86,BE189,LPI-CKV-CC-002,9.240000E-06
87,BE19,AFW-MDP-FR-B,3.865000E-04
88,BE190,LPI-CKV-CC-003,9.240000E-06
89,BE191,LPI-CKV-CC-004,9.240000E-06
90,BE192,LPI-CKV-CC-001A,9.240000E-06
91,BE193,LPI-MOV-CC-MINFL005B,4.210000E-04
92,BE194,LPI-MOV-CF-MINFLW,4.643000E-06
93,BE195,LPI-CKV-CC-001B,9.240000E-06
94,BE2,IE-LODCA,5.000000E-04
95,BE20,AFW-TDP-FS-TDP,6.010000E-03
96,BE200,PORV-PRV-CO-SBO,3.700000E-01
97,BE202,LPR-MOV-OO-004A,3.350000E-04
98,BE203,LPR-MOV-OO-004B,3.350000E-04
99,BE204,PORV-RES-FT,1.000000E+00
100,BE205,PORV-PRV-CO-1,1.000000E+00
101,BE206,PORV-PRV-CO-L,1.480000E-01
102,BE207,MSS-TBV-CF-PVS,5.000000E-06
103,BE208,MSS-CND-FC-MAIN,0.000000E+00
104,BE209,IAS-SYS-FC-SYSTEM,2.500000E-04
105,BE21,AFW-MDP-TM-A,3.950000E-03
106,BE219,SWS-TRNA-FT,1.000000E+00
107,BE22,AFW-TDP-TM-TDP,5.440000E-03
108,BE220,SWS-TRNB-FT,1.000000E+00
109,BE221,SWS-TRN-OP-STDYA,5.000000E-01
110,BE222,SWS-MOV-OC-001A,7.776000E-07
111,BE223,SWS-XHE-XM-TRNC,1.000000E-03
112,BE224,SWS-MOV-OC-001B,7.776000E-07
113,BE225,SWS-TRN-OP-STDYB,5.000000E-01
114,BE227,IE-LOOPGR,1.090000E-02
115,BE228,IE-LOOPPC,2.310000E-03
116,BE229,IE-LOOPSC,1.440000E-02
117,BE23,MFW-CKV-CC-001,9.240000E-06
118,BE230,IE-LOOPWR,6.370000E-03
119,BE232,CVC-XHE-XM-BORATION-EQ4,1.000000E-01
120,BE233,CVC-XHE-XM-BORATION-EQ5,2.000000E-01
121,BE235,HE-LOOPPC,1.000000E+00
122,BE235,HE-LOOPPC,0.000000E+00
123,BE236,HE-LOOPSC,0.000000E+00
124,BE236,HE-LOOPSC,1.000000E+00
125,BE237,HE-LOOPGR,1.000000E+00
126,BE237,HE-LOOPGR,0.000000E+00
127,BE238,HE-LOOPWR,1.000000E+00
128,BE238,HE-LOOPWR,0.000000E+00
129,BE239,HE-LOOPAV,0.000000E+00
130,BE24,MFW-CKV-CC-002,9.240000E-06
131,BE241,HE-LO4160ACA,0.000000E+00
132,BE241,HE-LO4160ACA,1.000000E+00
133,BE242,HE-LO4160ACB,1.000000E+00
134,BE242,HE-LO4160ACB,0.000000E+00
135,BE244,MSS-XHE-XM-MSISOL,1.000000E-03
136,BE245,MSS-ICC-FC-AUTOISO,2.000000E-03
137,BE246,MSS-ACT-CF-ACTUATION,5.000000E-04
138,BE247,MSI-SGA-ISOL-FT,1.000000E+00
139,BE248,MSI-SGB-ISOL-FT,1.000000E+00
140,BE25,AFW-MDP-FS-B,7.940000E-04
141,BE25,AFW-MDP-FS-B,1.000000E+00
142,BE250,MSS-MSV-OO-MSIVA,8.940000E-04
143,BE251,MSS-MSV-CF-MSIVS,5.269000E-06
144,BE252,MSS-MSV-OO-MSIVB,8.940000E-04
145,BE253,MSI-SGC-ISOL-FT,1.000000E+00
146,BE254,MSS-MSV-OO-MSIVC,8.940000E-04
147,BE255,MSI-SGD-ISOL-FT,1.000000E+00
148,BE256,MSS-MSV-OO-MSIVD,8.940000E-04
149,BE257,PWR-XHE-XM-DEPRCS,4.000000E-03
150,BE26,MFW-CKV-CC-003,9.240000E-06
151,BE260,AFW-PMP-CF-FR,1.570000E-05
152,BE266,HPI-XHE-XM-FAB-EQ4,1.000000E-01
153,BE267,HPI-XHE-XM-FAB-EQ5,2.000000E-01
154,BE268,HPI-XHE-XM-FAB-EQ6,5.000000E-01
155,BE269,HPR-XHE-XM-RC-EQ3,3.000000E-03
156,BE27,MFW-CKV-CC-004,9.240000E-06
157,BE271,IE-EQ-BIN6,1.170000E-07
158,BE277,SGS-EQ3-CD,4.548000E-04
159,BE278,STR-EQ1-CD,3.985000E-09
160,BE279,SGS-EQ1-CD,1.537000E-10
161,BE28,AFW-CKV-CC-001A,9.240000E-06
162,BE280,STR-EQ2-CD,5.412000E-05
163,BE281,SGS-EQ2-CD,5.480000E-06
164,BE282,STR-EQ4-CD,2.426000E-02
165,BE283,SGS-EQ4-CD,6.230000E-03
166,BE284,STR-EQ5-CD,1.240000E-01
167,BE285,SGS-EQ5-CD,4.634000E-02
168,BE286,STR-EQ6-CD,5.551000E-01
169,BE287,SGS-EQ6-CD,3.492000E-01
170,BE288,IE-EQ-BIN7,1.020000E-08
171,BE289,STR-EQ7-CD,8.304000E-01
172,BE29,AFW-MDP-FS-A,1.000000E+00
173,BE29,AFW-MDP-FS-A,7.940000E-04
174,BE290,SGS-EQ7-CD,6.663000E-01
175,BE2900,RCS-CKV-CC-001,9.240000E-06
176,BE2901,RCS-CKV-CC-002,9.240000E-06
177,BE2902,RCS-CKV-CC-003,9.240000E-06
178,BE2903,RCS-CKV-CC-004,9.240000E-06
179,BE2905,SIS-MOV-OC-001A,7.776000E-07
180,BE2908,SIS-MOV-OC-001B,7.776000E-07
181,BE2909,SIS-MDP-CF-FS,1.318000E-05
182,BE291,RCS-RCP-EQ3-LLOCA,3.789000E-02
183,BE2912,SIS-CKV-CC-003A,9.240000E-06
184,BE2913,SIS-CKV-CC-003B,9.240000E-06
185,BE2916,SIS-CKV-CF-SUC003,1.940000E-07
186,BE2917,SIS-MDP-CF-FR,1.163000E-05
187,BE292,RCS-SYS-EQ1-LLOCA,1.537000E-10
188,BE2920,RCS-CKV-CF-CC,1.214000E-07
189,BE2923,AFW-CKV-CC-002C,9.240000E-06
190,BE2924,AFW-CKV-CC-003C,9.240000E-06
191,BE2927,AFW-CKV-CC-001D,9.240000E-06
192,BE293,RCS-RCP-EQ1-LLOCA,9.986000E-07
193,BE2930,SIS-MFL-A-FT,1.000000E+00
194,BE2931,SIS-MFL-B-FT,1.000000E+00
195,BE2935,IE-L4160ACA,2.865000E-03
196,BE2936,SIS-MOV-CF-OOMF01,1.749000E-06
197,BE2937,AFW-CKV-CC-002D,9.240000E-06
198,BE2938,AFW-CKV-CC-003D,9.240000E-06
199,BE2939,AFW-CKV-CC-MPA01,9.240000E-06
200,BE294,RCS-SYS-EQ2-LLOCA,5.480000E-06
201,BE2940,AFW-CKV-CC-MPA02,9.240000E-06
202,BE2941,AFW-CKV-CC-MPB01,9.240000E-06
203,BE2942,AFW-CKV-CC-MPB02,9.240000E-06
204,BE2943,AFW-CKV-CC-TP01,9.240000E-06
205,BE2944,AFW-CKV-CC-TP02,9.240000E-06
206,BE2946,AFW-MOV-OC-004D,7.776000E-07
207,BE2947,AFW-AOV-OC-TDPSGD,2.520000E-06
208,BE2948,AFW-MOV-OC-004A,7.776000E-07
209,BE2949,AFW-AOV-OC-TDPSGA,2.520000E-06
210,BE295,RCS-RCP-EQ2-LLOCA,2.145000E-03
211,BE2950,AFW-MOV-OC-004B,7.776000E-07
212,BE2951,AFW-AOV-OC-TDPSGB,2.520000E-06
213,BE2952,AFW-MOV-OC-004C,7.776000E-07
214,BE2953,AFW-AOV-OC-TDPSGC,2.520000E-06
215,BE2955,AFW-FCV-OC-MDPA,7.776000E-07
216,BE2957,AFW-MDP-B-SEG-FT,1.000000E+00
217,BE2958,ACP-4160-A-FT,1.000000E+00
218,BE2959,AFW-TDP-SEG-FT,1.000000E+00
219,BE2960,AFW-MDP-A-SEG-FT,1.000000E+00
220,BE2962,AFW-MDP-FR-A,3.865000E-04
221,BE2963,MFW-CKV-CF-CC,1.214000E-07
222,BE2965,AFW-CKV-CF-MPTP2,6.071000E-08
223,BE2966,AFW-MDP-CF-FS,3.136000E-05
224,BE2967,AFW-MDP-CF-FR,1.059000E-05
225,BE2968,AFW-CKV-CF-MPTP1,6.071000E-08
226,BE2971,AFW-CKV-CF-001,1.214000E-07
227,BE298,RCS-SYS-EQ4-LLOCA,6.230000E-03
228,BE299,RCS-RCP-EQ4-LLOCA,1.692000E-01
229,BE2995,HPI-MOV-CF-CC-006,2.198000E-06
230,BE2997,PPR-PRV-CC-001,3.240000E-03
231,BE2998,PPR-PRV-CC-002,3.240000E-03
232,BE2999,PPR-PRV-CF-CC,4.666000E-05
233,BE30,AFW-MDP-TM-B,3.950000E-03
234,BE300,RCS-SYS-EQ5-LLOCA,6.230000E-03
235,BE3000,PPR-FT,1.000000E+00
236,BE3001,HPI-XHE-XM-FAB,2.000000E-02
237,BE3003,ACP-4160-B-FT,1.000000E+00
238,BE3004,DCP-125-1A-FT,1.000000E+00
239,BE3006,HE-SLOCA,1.000000E+00
240,BE3006,HE-SLOCA,0.000000E+00
241,BE3007,OEP-XHE-XL-NR01HGR,7.542000E-01
242,BE3008,DCP-125-1B-FT,1.000000E+00
243,BE301,RCS-RCP-EQ5-LLOCA,1.692000E-01
244,BE302,RCS-SYS-EQ6-LLOCA,4.634000E-02
245,BE303,RCS-RCP-EQ6-LLOCA,4.443000E-01
246,BE304,RCS-SYS-EQ1-SLOCA,5.075000E-05
247,BE305,RCS-SYS-EQ2-SLOCA,2.334000E-02
248,BE306,RCS-SYS-EQ4-SLOCA,4.638000E-01
249,BE307,RCS-SYS-EQ5-SLOCA,7.663000E-01
250,BE308,RCS-SYS-EQ6-SLOCA,9.783000E-01
251,BE309,LOOP-EQ1-BE,9.723000E-02
252,BE31,AFW-CKV-CC-002A,9.240000E-06
253,BE310,LOOP-EQ2-BE,7.258000E-01
254,BE311,LOOP-EQ6-BE,1.000000E+00
255,BE312,HE-EQ6,0.000000E+00
256,BE312,HE-EQ6,1.000000E+00
257,BE313,IE-FLI-CCW-RM,2.000000E-04
258,BE314,IE-FLI-CCW-RMA,1.000000E-03
259,BE315,IE-FLI-CCW-RMB,1.000000E-03
260,BE316,EPS-TNK-EQ3-DGN,2.556000E-02
261,BE317,IE-FLI-CVC-RM,7.000000E-05
262,BE318,EPS-TNK-EQ1-DGN,4.146000E-07
263,BE319,ACC-TNK-EQ1-BE,6.504000E-06
264,BE320,ACC-TNK-EQ2-BE,6.904000E-03
265,BE321,ACC-TNK-EQ3-BE,8.349000E-02
266,BE322,ACC-TNK-EQ4-BE,2.865000E-01
267,BE323,ACC-TNK-EQ5-BE,6.001000E-01
268,BE324,ACC-TNK-EQ6-BE,9.391000E-01
269,BE325,ACC-TNK-EQ-FT,1.000000E+00
270,BE326,ACP-BAC-EQ1-480V,5.075000E-05
271,BE327,ACP-BAC-EQ2-480V,2.334000E-02
272,BE328,ACP-BAC-EQ3-480V,1.817000E-01
273,BE329,ACP-BAC-EQ4-480V,4.638000E-01
274,BE33,IE-LODCB,5.000000E-04
275,BE330,ACP-BAC-EQ5-480V,7.663000E-01
276,BE333,ACP-BAC-EQ6-480V,9.783000E-01
277,BE334,ACP-480V-EQ-FT,1.000000E+00
278,BE3341,ACP-BAC-LP-1A,1.000000E+00
279,BE3341,ACP-BAC-LP-1A,2.292000E-05
280,BE3342,OEP-XHE-XL-NR01HPC,1.000000E+00
281,BE3342,OEP-XHE-XL-NR01HPC,3.825000E-01
282,BE3344,OEP-XHE-XL-NR01HSC,5.441000E-01
283,BE3345,OEP-XHE-XL-NR01HWR,7.876000E-01
284,BE3346,IE-XLOCA,1.000000E-07
285,BE3348,CCW-1A-FT,1.000000E+00
286,BE3349,CCW-1B-FT,1.000000E+00
287,BE335,ACP-BAC-EQ1-4KV,2.497000E-06
288,BE3350,SWS-1A-FT,1.000000E+00
289,BE3351,SWS-1B-FT,1.000000E+00
290,BE3353,IE-L4160ACB,2.865000E-03
291,BE3355,OEP-XHE-XL-NR02HGR,5.372000E-01
292,BE3356,LPI-CKV-CC-003A,9.240000E-06
293,BE3357,LPI-CKV-CC-003B,9.240000E-06
294,BE3358,LPI-MOV-OC-001A,7.776000E-07
295,BE3359,LPI-MOV-OC-001B,7.776000E-07
296,BE336,ACP-BAC-EQ2-4KV,3.823000E-03
297,BE3360,OEP-XHE-XL-NR02HPC,1.000000E+00
298,BE3360,OEP-XHE-XL-NR02HPC,2.242000E-01
299,BE3361,LPI-MOV-OC-002A,7.776000E-07
300,BE3362,LPI-MOV-OC-002B,7.776000E-07
301,BE3363,LPI-MOV-OC-012A,7.776000E-07
302,BE3364,LPI-MOV-OC-012B,7.776000E-07
303,BE3365,LPI-MOV-CC-004B,2.510000E-04
304,BE3366,LPI-MOV-CC-MINFL005A,2.510000E-04
305,BE3368,LPI-XVM-OC-007B,1.217000E-06
306,BE3369,LPI-MDP-FR-1A,3.865000E-04
307,BE337,ACP-BAC-EQ3-4KV,5.625000E-02
308,BE3370,LPI-MDP-FR-1B,3.865000E-04
309,BE3371,LPI-MDP-FS-1A,1.000000E+00
310,BE3371,LPI-MDP-FS-1A,7.940000E-04
311,BE3372,LPI-MDP-FS-1B,7.940000E-04
312,BE3373,LPI-MDP-TM-1A,4.220000E-03
313,BE3374,LPI-MDP-TM-1B,4.220000E-03
314,BE3375,OEP-XHE-XL-NR02HSC,3.630000E-01
315,BE3376,HPI-XHE-XM-THRTL,1.000000E-03
316,BE3379,LPI-MDP-B-SEG-FT,1.000000E+00
317,BE338,ACP-BAC-EQ4-4KV,2.210000E-01
318,BE3380,LPI-CKV-CF-CC003,1.940000E-07
319,BE3383,LPI-MDP-CF-FR,2.079000E-05
320,BE3384,LPI-MDP-CF-FS,2.962000E-05
321,BE3386,OEP-XHE-XL-NR02HWR,6.771000E-01
322,BE3387,EPS-DCP-125-1A-FT,1.000000E+00
323,BE3389,LPR-MOV-CC-009A,4.210000E-04
324,BE339,ACP-BAC-EQ5-4KV,5.194000E-01
325,BE3390,LPR-MOV-CC-009B,4.210000E-04
326,BE3391,LPR-MOV-CF-CC-009,7.789000E-06
327,BE3393,LPR-MDP-A-SEG-FT,1.000000E+00
328,BE3394,LPR-MDP-B-SEG-FT,1.000000E+00
329,BE3395,LPR-HTX-RP-A,1.006000E-06
330,BE3396,LPR-HTX-LK-A,6.696000E-06
